OID,BlockCode,GEO_ID,BCTCB2010,BoroCode,NTA Code,NTA Name,Borough,PUMA,Maximum Residential Broadband Speed by Block,Residential ISP Count by Block,Commerical Fiber Count by Block
14686,360850132043006,360850132043,50132043006,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14687,360850132043008,360850132043,50132043008,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14688,360850132043009,360850132043,50132043009,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14689,360850132043010,360850132043,50132043010,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14690,360850132043011,360850132043,50132043011,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14691,360850132043012,360850132043,50132043012,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14692,360850132043017,360850132043,50132043017,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14693,360850132043018,360850132043,50132043018,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14694,360850132043024,360850132043,50132043024,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14695,360850132041000,360850132041,50132041000,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14696,360850132041001,360850132041,50132041001,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14697,360850132041002,360850132041,50132041002,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14698,360850132041003,360850132041,50132041003,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14699,360850132041004,360850132041,50132041004,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14700,360850132041005,360850132041,50132041005,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14701,360850132041010,360850132041,50132041010,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14702,360850132041017,360850132041,50132041017,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14703,360850132041018,360850132041,50132041018,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14704,360850132041020,360850132041,50132041020,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14705,360850132042000,360850132042,50132042000,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14706,360850132042001,360850132042,50132042001,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14707,360850132042002,360850132042,50132042002,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14708,360850132042003,360850132042,50132042003,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,0
14709,360850132042004,360850132042,50132042004,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,0
14710,360850132042005,360850132042,50132042005,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14711,360850132042006,360850132042,50132042006,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14712,360850132042007,360850132042,50132042007,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14713,360850132042008,360850132042,50132042008,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14714,360850132042009,360850132042,50132042009,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14715,360850132042010,360850132042,50132042010,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14716,360850132042011,360850132042,50132042011,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14717,360850132042012,360850132042,50132042012,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14718,360850132042013,360850132042,50132042013,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14719,360850132042016,360850132042,50132042016,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14720,360850132042017,360850132042,50132042017,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14721,360850132042018,360850132042,50132042018,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14722,360850132042019,360850132042,50132042019,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14723,360850132042020,360850132042,50132042020,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,0
14724,360850132042021,360850132042,50132042021,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,0
14725,360850132042030,360850132042,50132042030,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14726,360850132042031,360850132042,50132042031,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14727,360850132043000,360850132043,50132043000,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14728,360850132043003,360850132043,50132043003,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14729,360850132043004,360850132043,50132043004,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14730,360850132043007,360850132043,50132043007,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,0
